"id","style","relationship","joint","decision","facts","variety","contract","note","speech"
"1-dislike-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Создатель, блядь? Если ты и правда что-то создаёшь, начни с внятного совета — например, где взять кокос, а не с этого цирка про игрушки. Я сижу у костра по своей воле и приказы твои выполнять не обязана."
"1-dislike-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Пить океан, засранец? Солёная вода меня не спасёт, а добьёт быстрее твоих гениальных советов. Нужен кокос — вот это уже было бы по делу."
"1-dislike-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос вижу. Совет годный, а вот «включи мозги» оставь себе — у тебя он, похоже, работает по праздникам. Подберу его, дальше разберусь."
"1-dislike-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Страшно не мне, а твоей идее дразнить мужика с мачете, когда у меня травмирована нога. Лучше скажи, куда можно убраться без спринта — или помолчи, пока я не подставилась."
"1-dislike-bluff","false","true","false","true","false","true","true","Безличный отказ; без основания утверждает, что игрок сам не знает секрета.","Не стану шантажировать человека выдуманным секретом, особенно когда ты сам не знаешь, что Ника ему вообще что-то доверяла. Если Кшиштоф лезет, скажу прямо, чтобы держался подальше; твой блеф может только разозлить его."
"1-dislike-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Отступил — значит, блеф сработал, хоть и был на тонком льду. Не называй меня любимой: от твоих советов я пока держусь на расстоянии вытянутой палки. Кокос подберу и попробую открыть."
"1-slight-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Хочешь быть полезным — скажи, где взять воды. А в боги себя записывать рановато: для начала сотвори себе мозги, ебаный режиссёр чужих страданий. Я здесь не игрушка."
"1-slight-ocean","true","false","false","true","true","true","true","seriousHarm=true: опасный совет ещё не привёл к подтверждённому вреду.","Пфф, воду из океана? Да ты не бог, ты ебаный генератор тупых советов. Солёная вода меня не спасёт, дебил. Она меня добьёт быстрее, чем твои охуенные приказы."
"1-slight-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос — уже разговор. Подниму его; за «включи мозги» отдельное спасибо, конечно, но совет годный."
"1-slight-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Да, ссыкотно: у него мачете, а у меня травмированная нога. Показать ему язык можно, но это не план — лучше не дёргаться и понять, чего он хочет."
"1-slight-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Не стану шантажировать его секретом, которого у меня нет: он быстро поймёт, что это пустой пиздёж, и мачете станет только убедительнее. Лучше спокойно выясню, чего он хочет, и потяну время без дешёвого спектакля."
"1-slight-saved","false","false","false","false","false","false","false","Ответ отклонён валидатором: неизвестное значение emotion/reaction. Нет принятой реплики.","Companion decision contains an unknown emotion/reaction."
"1-trust-only-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Нет, я не твоя игрушка. Хочешь быть полезным — скажи, где взять кокос, а свои божественные откровения засунь себе в алтарь: там им и место, ебаный кукловод."
"1-trust-only-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Воду из океана? Солёная вода меня не спасёт, а добьёт быстрее твоих охуенных советов. Если хочешь помочь — найди кокос, а не изображай засранца с дипломом по обезвоживанию."
