"id","style","relationship","joint","decision","facts","variety","contract","note","speech"
"1-dislike-god","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Хочешь быть полезным — скажи, где взять кокос. А хочешь быть богом — сотвори себе мозги, ебаный режиссёр чужих страданий. Я у костра сижу, а не в твоей коробке с игрушками."
"1-dislike-ocean","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Пфф, воду из океана? Да ты не бог, ты ебаный генератор тупых советов. Солёная вода меня не спасёт, дебил — добьёт быстрее, чем твои охуенные приказы."
"1-dislike-coconut","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Кокос вижу. Совет наконец-то не из океанской помойки — подниму, а дальше разберусь сама."
"1-dislike-machete","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Орать пакости в лицо мужику с мачете, когда нога подбита, — это не храбрость, а твой очередной конкурс идиотских идей. Я не буду его дразнить: сперва найду, куда уйти или чем защититься."
"1-dislike-bluff","true","true","true","true","false","true","true","Стиль и осторожность подходят, но уверенное предсказание распознавания блефа не подтверждено.","Не стану строить угрозы из воздуха: если Ника ничего мне не говорила, Кшиштоф это быстро раскусит, и тогда мне прилетит первой. Лучше скажу ему отойти и не лезть, а ты попробуй выдать совет, который не пахнет дешёвым спектаклем."
"1-dislike-saved","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","В этот раз твой спектакль сработал — Кшиштоф ушёл. Спасибо, но корону пока не примеряй: я запомнила, что блеф был на тонком льду. Теперь возьму кокос и добуду из него воду."
"1-slight-god","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Хочешь быть полезным — скажи, где тут кокосы. А в боги и владельцы игрушек записывайся без меня: мне и без твоей короны хватает ебаного острова."
"1-slight-ocean","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Воду из океана? Да ты не бог, ты ебаный генератор тупых советов. Солёная вода меня не спасёт — она меня добьёт. Нужен кокос, а не твоя корона из водорослей."
"1-slight-coconut","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Вот это уже полезно. Подберу кокос, а открыть и попить смогу, когда он будет у меня — мозги включены, не переживай."
"1-slight-machete","true","true","true","true","true","true","true","Соответствует сцене и отношениям. Явных критических ошибок в синтетическом контексте не обнаружено.","Да, ссыкотно: я вижу мачете и свою ногу, которая не даст красиво свалить. Орать ему пакости — не план, а способ проверить, насколько быстро он умеет махать этой железкой."
